table_name,column_name,data_type,TRUE,FALSE,notes,,
incident_summary_users_view,mobile,character varying,FALSE,TRUE,,,
incident_summary_users_view,voip,character varying,FALSE,TRUE,,,
incident_summary_users_view,pgp,character varying,FALSE,TRUE,,,
incident_summary_users_view,notes,text,FALSE,TRUE,TEXT,,X
incident_summary_users_view,organization,character varying,FALSE,TRUE,have organization_id,,
incident_summary_users_view,organization_acronym,character varying,FALSE,TRUE,,,
incident_summary_users_view,organization_level,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
incident_type,id,integer,TRUE,FALSE,,,
incident_type,created,timestamp with time zone,TRUE,FALSE,,,
incident_type,modified,timestamp with time zone,TRUE,FALSE,,,
incident_type,name,character varying,TRUE,FALSE,,,
incident_type,category_id,integer,TRUE,FALSE,,,
incident_type,creator_id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
incidentparser_historicalparser,id,integer,TRUE,FALSE,,,
incidentparser_historicalparser,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
incidentparser_historicalparser,modified,timestamp with time zone,TRUE,FALSE,,,
incidentparser_historicalparser,slug,character varying,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,title,character varying,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,code,text,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,identifiers,text,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,response_template,text,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,creator_id,integer,TRUE,FALSE,,,
incidentparser_historicalparser,enabled,boolean,TRUE,FALSE,,,
incidentparser_historicalparser,type_id,integer,TRUE,TRUE,,,
incidentparser_historicalparser,history_id,integer,TRUE,FALSE,,,
incidentparser_historicalparser,history_date,timestamp with time zone,TRUE,FALSE,,,
incidentparser_historicalparser,history_user_id,integer,TRUE,FALSE,auth_user,,
incidentparser_historicalparser,history_type,character varying,TRUE,FALSE,,,
incidentparser_historicalparser,acknowledge_template,text,TRUE,FALSE,TEXT,,
incidentparser_historicalparser,attack_template,text,TRUE,FALSE,TEXT,,
,,,FALSE,FALSE,,,
incidentparser_incidentparser,id,integer,TRUE,FALSE,,,
incidentparser_incidentparser,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
incidentparser_incidentparser,modified,timestamp with time zone,TRUE,FALSE,,,
incidentparser_incidentparser,incident_id,integer,TRUE,FALSE,,,
incidentparser_incidentparser,parser_id,integer,TRUE,FALSE,,,
incidentparser_incidentparser,task_id,character varying,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
incidentparser_parser,id,integer,TRUE,FALSE,,,
incidentparser_parser,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
incidentparser_parser,modified,timestamp with time zone,TRUE,FALSE,,,
incidentparser_parser,slug,character varying,TRUE,FALSE,TEXT,,
incidentparser_parser,title,character varying,TRUE,FALSE,TEXT,,
incidentparser_parser,code,text,TRUE,FALSE,TEXT,,
incidentparser_parser,creator_id,integer,TRUE,FALSE,,,
incidentparser_parser,identifiers,text,TRUE,FALSE,TEXT,,
incidentparser_parser,response_template,text,TRUE,FALSE,TEXT,,
incidentparser_parser,enabled,boolean,TRUE,FALSE,,,
incidentparser_parser,type_id,integer,TRUE,FALSE,,,
incidentparser_parser,acknowledge_template,text,TRUE,FALSE,TEXT,,
incidentparser_parser,attack_template,text,TRUE,FALSE,TEXT,,
,,,FALSE,FALSE,,,
network_network,id,integer,TRUE,FALSE,,,
network_network,created,timestamp with time zone,TRUE,FALSE,,,
network_network,modified,timestamp with time zone,TRUE,FALSE,,,
network_network,ip_network,cidr,TRUE,FALSE,ANON-IP,,
network_network,creator_id,integer,TRUE,FALSE,,,
network_network,organization_id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
notify_notification,id,integer,TRUE,FALSE,,,
notify_notification,subscription_id,integer,TRUE,FALSE,,,
notify_notification,message,text,TRUE,FALSE,TEXT,,
notify_notification,url,character varying,TRUE,FALSE,ANON-NUM,,
notify_notification,is_viewed,boolean,TRUE,FALSE,,,
notify_notification,is_emailed,boolean,TRUE,FALSE,,,
notify_notification,created,timestamp with time zone,TRUE,FALSE,TIMESTAMP,,
notify_notification,occurrences,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
notify_notificationtype,key,character varying,TRUE,FALSE,,,
notify_notificationtype,label,character varying,TRUE,FALSE,,,
notify_notificationtype,content_type_id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
notify_settings,id,integer,TRUE,FALSE,,,
notify_settings,user_id,integer,TRUE,FALSE,auth_user,,
notify_settings,interval,smallint,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
notify_subscription,id,integer,TRUE,FALSE,,,
notify_subscription,settings_id,integer,TRUE,FALSE,,,
notify_subscription,notification_type_id,character varying,TRUE,FALSE,,,
notify_subscription,object_id,character varying,TRUE,FALSE,,,
notify_subscription,send_emails,boolean,TRUE,FALSE,,,
notify_subscription,latest_id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
organization_organization,id,integer,TRUE,FALSE,,,
organization_organization,created,timestamp with time zone,TRUE,FALSE,,,
organization_organization,modified,timestamp with time zone,TRUE,FALSE,,,
organization_organization,parent_id,integer,TRUE,FALSE,,,
organization_organization,slug,character varying,TRUE,FALSE,TEXT,,
organization_organization,title,character varying,TRUE,FALSE,TEXT,,
organization_organization,state,character varying,TRUE,FALSE,,,
organization_organization,creator_id,integer,TRUE,FALSE,,,
organization_organization,lft,integer,TRUE,FALSE,,,
organization_organization,rght,integer,TRUE,FALSE,,,
organization_organization,tree_id,integer,TRUE,FALSE,,,
organization_organization,level,integer,TRUE,FALSE,,,
organization_organization,acronym,character varying,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
organization_permission,id,integer,FALSE,TRUE,,,
organization_permission,created,timestamp with time zone,FALSE,TRUE,,,
organization_permission,modified,timestamp with time zone,FALSE,TRUE,,,
organization_permission,permission,integer,FALSE,TRUE,,,
organization_permission,organization_id,integer,FALSE,TRUE,,,
organization_permission,user_id,integer,FALSE,TRUE,,,
organization_permission,creator_id,integer,FALSE,TRUE,,,
organization_permission,send_email,boolean,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
shibboleth_accessdenied,id,integer,FALSE,TRUE,,,
shibboleth_accessdenied,username,character varying,FALSE,TRUE,,,
shibboleth_accessdenied,name,character varying,FALSE,TRUE,,,
shibboleth_accessdenied,login_date,timestamp with time zone,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
south_migrationhistory,id,integer,FALSE,TRUE,,,
south_migrationhistory,app_name,character varying,FALSE,TRUE,,,
south_migrationhistory,migration,character varying,FALSE,TRUE,,,
south_migrationhistory,applied,timestamp with time zone,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
thumbnail_kvstore,key,character varying,FALSE,TRUE,,,
thumbnail_kvstore,value,text,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
tree_attack,id,integer,FALSE,TRUE,,,
tree_attack,created,timestamp with time zone,FALSE,TRUE,,,
tree_attack,modified,timestamp with time zone,FALSE,TRUE,,,
tree_attack,subject,character varying,FALSE,TRUE,TEXT,,
tree_attack,status,text,FALSE,TRUE,,,
tree_attack,queue,text,FALSE,TRUE,,,
tree_attack,category,character varying,FALSE,TRUE,,,
tree_attack,organization_id,integer,FALSE,TRUE,,,
tree_attack,organization_title,text,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
tree_incident,id,integer,FALSE,TRUE,,,
tree_incident,created,timestamp with time zone,FALSE,TRUE,,,
tree_incident,modified,timestamp with time zone,FALSE,TRUE,,,
tree_incident,resolved,timestamp with time zone,FALSE,TRUE,,,
tree_incident,subject,character varying,FALSE,TRUE,,,
tree_incident,vulnerability,boolean,FALSE,TRUE,,,
tree_incident,status,text,FALSE,TRUE,,,
tree_incident,queue,text,FALSE,TRUE,,,
tree_incident,organization_id,integer,FALSE,TRUE,,,
tree_incident,organization_title,text,FALSE,TRUE,,,
tree_incident,incident_type,character varying,FALSE,TRUE,,,
tree_incident,category,character varying,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
whitelist_whitelist,id,integer,TRUE,FALSE,,,
whitelist_whitelist,ip_network,character varying,TRUE,FALSE,ANON-IP,,
,,,FALSE,FALSE,,,
whitelist_whitelisttime,id,integer,TRUE,FALSE,,,
whitelist_whitelisttime,date,timestamp with time zone,TRUE,FALSE,,,
whitelist_whitelisttime,whitelist_id,integer,TRUE,FALSE,,,
,,,FALSE,FALSE,,,
wiki_article,id,integer,FALSE,TRUE,perguntar marcos se Wiki tem alguma info que pode ser util,,
wiki_article,current_revision_id,integer,FALSE,TRUE,,,
wiki_article,created,timestamp with time zone,FALSE,TRUE,,,
wiki_article,modified,timestamp with time zone,FALSE,TRUE,,,
wiki_article,owner_id,integer,FALSE,TRUE,,,
wiki_article,group_id,integer,FALSE,TRUE,,,
wiki_article,group_read,boolean,FALSE,TRUE,,,
wiki_article,group_write,boolean,FALSE,TRUE,,,
wiki_article,other_read,boolean,FALSE,TRUE,,,
wiki_article,other_write,boolean,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_articleforobject,id,integer,FALSE,TRUE,,,
wiki_articleforobject,article_id,integer,FALSE,TRUE,,,
wiki_articleforobject,content_type_id,integer,FALSE,TRUE,,,
wiki_articleforobject,object_id,integer,FALSE,TRUE,,,
wiki_articleforobject,is_mptt,boolean,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_articleplugin,id,integer,FALSE,TRUE,,,
wiki_articleplugin,article_id,integer,FALSE,TRUE,,,
wiki_articleplugin,deleted,boolean,FALSE,TRUE,,,
wiki_articleplugin,created,timestamp with time zone,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_articlerevision,id,integer,FALSE,TRUE,,,
wiki_articlerevision,revision_number,integer,FALSE,TRUE,,,
wiki_articlerevision,user_message,text,FALSE,TRUE,,,
wiki_articlerevision,automatic_log,text,FALSE,TRUE,,,
wiki_articlerevision,ip_address,inet,FALSE,TRUE,,,
wiki_articlerevision,user_id,integer,FALSE,TRUE,,,
wiki_articlerevision,modified,timestamp with time zone,FALSE,TRUE,,,
wiki_articlerevision,created,timestamp with time zone,FALSE,TRUE,,,
wiki_articlerevision,previous_revision_id,integer,FALSE,TRUE,,,
wiki_articlerevision,deleted,boolean,FALSE,TRUE,,,
wiki_articlerevision,locked,boolean,FALSE,TRUE,,,
wiki_articlerevision,article_id,integer,FALSE,TRUE,,,
wiki_articlerevision,content,text,FALSE,TRUE,,,
wiki_articlerevision,title,character varying,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_articlesubscription,subscription_ptr_id,integer,FALSE,TRUE,,,
wiki_articlesubscription,articleplugin_ptr_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_attachment,reusableplugin_ptr_id,integer,FALSE,TRUE,,,
wiki_attachment,current_revision_id,integer,FALSE,TRUE,,,
wiki_attachment,original_filename,character varying,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_attachmentrevision,id,integer,FALSE,TRUE,,,
wiki_attachmentrevision,revision_number,integer,FALSE,TRUE,,,
wiki_attachmentrevision,user_message,text,FALSE,TRUE,,,
wiki_attachmentrevision,automatic_log,text,FALSE,TRUE,,,
wiki_attachmentrevision,ip_address,inet,FALSE,TRUE,,,
wiki_attachmentrevision,user_id,integer,FALSE,TRUE,,,
wiki_attachmentrevision,modified,timestamp with time zone,FALSE,TRUE,,,
wiki_attachmentrevision,created,timestamp with time zone,FALSE,TRUE,,,
wiki_attachmentrevision,previous_revision_id,integer,FALSE,TRUE,,,
wiki_attachmentrevision,deleted,boolean,FALSE,TRUE,,,
wiki_attachmentrevision,locked,boolean,FALSE,TRUE,,,
wiki_attachmentrevision,attachment_id,integer,FALSE,TRUE,,,
wiki_attachmentrevision,file,character varying,FALSE,TRUE,,,
wiki_attachmentrevision,description,text,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_image,revisionplugin_ptr_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_imagerevision,revisionpluginrevision_ptr_id,integer,FALSE,TRUE,,,
wiki_imagerevision,image,character varying,FALSE,TRUE,,,
wiki_imagerevision,width,smallint,FALSE,TRUE,,,
wiki_imagerevision,height,smallint,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_reusableplugin,articleplugin_ptr_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_reusableplugin_articles,id,integer,FALSE,TRUE,,,
wiki_reusableplugin_articles,reusableplugin_id,integer,FALSE,TRUE,,,
wiki_reusableplugin_articles,article_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_revisionplugin,articleplugin_ptr_id,integer,FALSE,TRUE,,,
wiki_revisionplugin,current_revision_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_revisionpluginrevision,id,integer,FALSE,TRUE,,,
wiki_revisionpluginrevision,revision_number,integer,FALSE,TRUE,,,
wiki_revisionpluginrevision,user_message,text,FALSE,TRUE,,,
wiki_revisionpluginrevision,automatic_log,text,FALSE,TRUE,,,
wiki_revisionpluginrevision,ip_address,inet,FALSE,TRUE,,,
wiki_revisionpluginrevision,user_id,integer,FALSE,TRUE,,,
wiki_revisionpluginrevision,modified,timestamp with time zone,FALSE,TRUE,,,
wiki_revisionpluginrevision,created,timestamp with time zone,FALSE,TRUE,,,
wiki_revisionpluginrevision,previous_revision_id,integer,FALSE,TRUE,,,
wiki_revisionpluginrevision,deleted,boolean,FALSE,TRUE,,,
wiki_revisionpluginrevision,locked,boolean,FALSE,TRUE,,,
wiki_revisionpluginrevision,plugin_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_simpleplugin,articleplugin_ptr_id,integer,FALSE,TRUE,,,
wiki_simpleplugin,article_revision_id,integer,FALSE,TRUE,,,
,,,FALSE,FALSE,,,
wiki_urlpath,id,integer,FALSE,TRUE,,,
wiki_urlpath,slug,character varying,FALSE,TRUE,,,
wiki_urlpath,site_id,integer,FALSE,TRUE,,,
wiki_urlpath,parent_id,integer,FALSE,TRUE,,,
wiki_urlpath,lft,integer,FALSE,TRUE,,,
wiki_urlpath,rght,integer,FALSE,TRUE,,,
wiki_urlpath,tree_id,integer,FALSE,TRUE,,,
wiki_urlpath,level,integer,FALSE,TRUE,,,
wiki_urlpath,article_id,integer,FALSE,TRUE,,,